,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93
1,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559
2,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526
3,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019
4,0.571,0.815,6,-3.267,1,0.0321,0.0608,0.0,0.163,0.664,120.008
5,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948
6,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021
7,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028
8,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
9,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909
10,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312
11,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932
12,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961
13,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04
14,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802
15,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397
16,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39
17,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887
18,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972
19,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015
20,0.669,0.727,7,-7.588,1,0.0353,0.139,0.0,0.123,0.807,102.322
21,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875
22,0.652,0.749,0,-5.248,1,0.0886,0.0848,0.0,0.604,0.651,94.103
23,0.663,0.857,2,-2.16,1,0.0544,0.0542,0.0,0.144,0.931,126.039
24,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609
25,0.624,0.91,0,-5.703,1,0.0297,0.0285,0.000198,0.0789,0.767,104.042
26,0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623
27,0.704,0.636,9,-6.029,1,0.0252,0.0344,0.0,0.35,0.89,111.845
28,0.898,0.271,7,-12.238,1,0.091,0.0135,0.00138,0.0461,0.742,111.485
29,0.683,0.937,9,-6.335,1,0.0449,0.00481,0.0046,0.07,0.619,104.872
30,0.771,0.655,3,-10.842,0,0.0372,0.152,0.00197,0.0685,0.97,119.747
31,0.67,0.516,10,-9.598,1,0.366,0.0673,0.0,0.0674,0.939,154.186
32,0.671,0.685,11,-5.762,0,0.05,0.00165,0.0,0.398,0.368,118.449
33,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506
34,0.543,0.912,7,-10.71,1,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731
35,0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986
36,0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145
37,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071
38,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662
39,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01
