,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0.663,0.251,6,-9.87,0,0.0435,0.88,0.0,0.0932,0.528,90.272
1,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914
2,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937
3,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
4,0.551,0.268,2,-9.954,1,0.0427,0.805,0.0,0.0977,0.335,77.079
5,0.62,0.424,0,-5.903,1,0.0315,0.594,0.0,0.0751,0.203,132.11
6,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
7,0.37,0.559,0,-5.589,1,0.0526,0.186,0.0,0.121,0.316,162.816
8,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199
9,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414
10,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262
11,0.482,0.43,10,-7.224,1,0.0481,0.763,2.79e-06,0.344,0.113,143.23
12,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185
13,0.824,0.3,1,-6.678,0,0.0565,0.854,0.0,0.174,0.227,112.867
14,0.436,0.255,3,-8.623,1,0.0364,0.955,3.28e-05,0.106,0.15,113.265
15,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214
16,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609
17,0.578,0.5,1,-7.587,1,0.0345,0.782,1.63e-06,0.0813,0.525,75.01
18,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355
19,0.478,0.339,4,-7.355,1,0.0544,0.688,0.0,0.104,0.288,145.441
20,0.447,0.539,6,-5.051,1,0.0317,0.333,0.0,0.892,0.419,113.225
21,0.563,0.382,10,-11.138,1,0.0404,0.748,0.0,0.0714,0.197,120.802
22,0.632,0.349,10,-10.289,1,0.0346,0.926,7.5e-05,0.294,0.307,109.981
23,0.557,0.583,4,-4.127,1,0.0308,0.124,0.0,0.187,0.215,95.349
24,0.667,0.718,1,-2.848,0,0.045,0.247,0.0,0.102,0.357,94.946
25,0.394,0.327,4,-14.291,1,0.114,0.849,0.0,0.125,0.411,93.358
26,0.708,0.298,6,-8.704,1,0.0483,0.887,0.0,0.101,0.399,86.838
27,0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029
